rating,text
9,"I have seen Charlie & The Chocolate Factory last night and though I usually don't care very much in giving my opinion, the journey M. Burton and his team made me cross deserves an homage. Especially with all that criticism rising around the film before it has been released.

I have been a Tim Burton fan for more than a decade now; I grew up with his films. But what I have been through yesterday his really unique. I actually never thought he would offer us such a film one day. Fans of his first period, with all the lonely and desperate characters won't like it for sure. Since Mars Attacks !, and more specifically since Big Fish, Burton decided to tell things differently. His vision of the world slightly changed in every of his films : now, the rejected freak comes down to the world and stays. A world that remains frightening and weird even thought we call it ""reality"" but a world worth living in. And that's what Charlie & The Chocolate Factory is all about?It all begins with a main title sequence that may be one of the main weaknesses of the film. The sequence is very entertaining and visually ambitious but they decided to go with CGI and it looks like it was a decision they made in last minute. Since the film was proudly made with ""real"" sets, ""real"" Oompas Loompas, ""real"" squirrels, the main title looks inappropriate. It's not that important but it's a Tim Burton film and we know how much he usually works on his main title. Hopefully, Danny Elfman is there with a crazy mix of the Edward Scissorhands and Spider-Man (the music when the title of the film appears gave me shivers), a true musical roller-coaster that gives a hint on what his score will sound like through the film.

After that, it's just emotions. All kinds of them: laughs (many ?the audience laughed almost every thirty seconds), tears of joy (we all know Charlie's gonna find that ticket but when he does, you just can't refrain your heart to beat faster), mercy (the way Burton depicts the social misery of the Bucket's family is really touching), amazement (the Wonka Factory and its many rooms is true wonder, one the most achieved design Burton ever offered us) and many mores. Very much like the book, even though it seems simple and childish, you would like to stop for a second to collect those feelings and try to analyze them but you don't have the time. It just never stops (I realize it might be a flaw for some people in fact). Burton never has been so generous in terms of human warmness.

Johnny Depp proposes another inventive and completely wacky interpretation here. I won't compare with Gene Wilder since I don't know the first film very well (pretty unknown flick here in Europe) and those comparisons should stop anyway. Depp makes of Wonka a tormented and unadapted character who doesn't know much about common courtesy and doesn't really care anyway. He built up his own universe in response to his authoritarian father and he's pretty proud of it. He just doesn't want those ""weird"" (a word he likes ?you've all seen the TV spots) and boring parents with their despicable children to ruin what is life is based on. Yet?So Depp's Wonka is actually very moving and pathetic in his attempts to entertain his visitors. As Burton does everything he can to make you hate Augustus, Vercua, Violet and Mike at the moment you first see them, you get instantly closer to Wonka when you noticed he feels the same. In addition to that, John August's vision of Wonka's past (including an always perfect cameo by Christopher Lee) offers the character a real depth you didn't expect.

Danny Elfman is also one of the main attractions of the film. While his score is already classic Burton/Elfman work with some interesting experiments (the main themes are splendid), the songs he wrote for the Oompas Loompas are just so funny. Hugh laughs in the audience for some musical choices. Those songs don't intend to stay with you for months (it would have been hard as they're based on Dahl's lyrics that doesn't allow Broadway impulses), they're just off-beat numbers playing with many references in so many styles. Oingo Boingo fans have to buy the soundtrack when it'll come out, it'll bring them back 15 years ago.

What can I tell you more ? McDowell's sets are amazing, Pescucci's work is impressive as well as Rousselot's beautiful cinematography. Some Oscar Nominations should fall here.

As for the ending, without revealing it, August's additions are really touching and fit perfectly to Burton's new approach. Even though the final shot tempers the ""family"" theme that he developed through the film (it's still Burton, not Disney), Burton makes you feel good because he feels good (and what I'm writing here will ring a bell when you'll see the movie). I don't know for you but after so many distressed and pessimistic films, it really moved to see that he found a certain peace. Charlie and The Chocolate Factory is a step forward in the direction he gave to his career with Big Fish. He lost his father, he became one, he's getting older and all those questions and doubts are expressed in many important and very complex images and scenes he imagined for the film. That's why I could call this film the ""Edward Scissorhands"" of his new period. Those films are very different but gave me both some very essential emotions.

Thank you, M.Burton. Thank you very much"
9,"when i first went to the screening for this movie i was expecting it to be crap like the trailers suggested but i was surprised by how well made it is. this is an amazing movie that shows director Burton at his best. you all know the story by now so i won't waste time going over it. what i love about this movie is how they kept the things that made the original movie great and also added in their own wonderful stuff. the trailers and TV ads make Wonka look like an idiot or some freak but he's actually a pretty sweet man that's funny as hell. the kids are great too, although they get a bit annoying at times. danny elfman's music was also well done, it's not as good as the one he did for scissorhands but it still holds it own and the set design was amazing from start to finish.

this is a great movie that's well shot and done in every way. it might just be the first remake since dawn of the dead that doesn't suck"
9,"I was pleased to have this ""Willy Wonka"" re-make meet my expectations. Those expectations were high, at least in the visuals department. I expected a wild, colorful ride with brilliant hues and good special effects...and I was not disappointed.

It was inventively fun with those great visuals and another wonderful kid playing ""Charlie."" I doubted they could ever come up with another child as appealing and nice/wholesome as one in ""Willy Wonka"" but they found one in Freddie Highmore. He filled the bill magnificently, as did the ""brat"" kids.

A different feature of this version, as opposed to the 1970 original, was that here the Oompa-Loompas were all played by just one person, a very small Indian man named Deep Roy. One of the interesting ""features"" on the DVD details how difficult that was to do and how much time Roy had to put in to do all the things he did.

Johnny Depp, meanwhile, ""did"" what he always does - do a good job of playing a weird person. I get the feeling he relates easily to strange characters. He seems to play enough of them. This was the only part of the movie, frankly, where I preferred the 1970 version: the role of Willy Wonka. Yes, Depp was interesting as always but a little too weird, too Michael Jackson-like, for my tastes. I'll take Gene Wilder's take on the character.

Otherwise, this re-make has it all over the original, simply because it has 35 years of technology and computer work that the original wasn't able to have. It made this re-make a real ""hoot"" to watch. Since entertainment is what the business is called, and this movie is extremely entertaining, then I have no complaints. A fun two hours!
"
9,"Every bit of it hits you with amazing childhood memories. Watching it as an adult, you get to notice many dirty puns between Willy Wonka and Violet's mother almost explicit lol. The songs by the oompa lumpas are still pretty dull and useless though"
9,"Who says that a movie can't be dark and still be for kids? Sure, the original may have sugar-coated things a bit more, but it was still just as dark and disturbing as this one was! And that's OK. Has anybody heard of the Brothers Grimm? They wrote fairy tales that were still ten times as dark as this movie, and they were for kids, and many of us read them when we were kids. Kids are savvier than we give them credit for, and honestly, I think that adults would be more put off by the disturbing imagery in ""Charlie and the Chocolate Factory"" than kids would. I saw this movie at a Friday afternoon matin?e in a theater that was FULL of kids, and the reaction seemed pretty positive to me. (And as far as some of the ""hidden"" risqu? jokes, I remember the same types of jokes in a lot of Disney movies from the late 80s and early 90s; it's a part of the kid's movie landscape now.) I thought it was an excellent movie, for adults or for kids. I also thought it had some touches that actually improved on the original; the set pieces were amazing, and there was more with the great glass elevator (like the book) than in the original movie, which I was pleased to see.

I thought I'd go into this being bored until they got to the factory because that was how I felt about the original, but even the opening scenes with the Bucket family, and Grandpa Bucket's flashbacks to his time working at the factory, are wonderfully entertaining. The unusual imagery starts there, with the gigantic factory ""ten times as big as any other chocolate factory"", and Charlie's weird, funhouse-like shack and eccentric but loving family. I was most impressed with David Kelly as Grandpa Bucket, whose performance was all child-like wonder, and Helena Bonham-Carter and Noah Taylor were also good as Charlie's parents; and Freddie Highmore, who played Charlie, ought to have a decent career in front of him.

Once they do get to the factory, though, things really take off. Johnny Depp puts in an excellent performance as Willy Wonka, not an impression of Gene Wilder AT ALL, but as usual, making the character his own. Without a doubt, he's the best thing about the movie, but the imagery is amazing too. It's exactly what you'd expect from a Tim Burton-made adaptation of the book; his trademark is all over everything, and the result is stunning. And the kids are great too, as are Deep Roy as every one of the Oompa Loompas, Missi Pyle as Violet's mother, David Kelly as Grandpa Bucket, and James Fox as Veruca Salt's father. From the start of the tour, the movie starts feeling like an acid trip, and the movie never lets go of that atmosphere. The result is amazing.

The only slow parts, I think, are those dealing with Wonka's childhood (although Christopher Lee is good as his father, I just thought they were a little boring and wanted to get back to the factory when they were on) and the Oompa Loompas' musical numbers, which I didn't think had the charm of those in the original (actually, I thought the musical number with the puppets at the beginning of the tour was the best one in the movie). The ending is also just a bit overlong, but the whole package is so good that the pluses definitely outweigh the minuses. You'll enjoy this movie, especially if you're already a fan of Tim Burton's work, but also, I think, if you're a fan of the original movie or the book; however, even kids who have never been exposed to any of this will be entertained. It's often hilarious, always a visual treat, and has something to offer for everybody."
9,"I liked the old WILLY WONKA film and when I heard they were going to do a remake, I was very skeptical--especially when knuckleheads on the internet kept started circulating rumors that Marilyn Manson was going to play the lead!! Fortunately, this was only a dopey rumor and I am pleased to say that I am glad they remade this film, since it sticks much closer to the book by Roald Dahl and because I liked the dark Tim Burton style. Unlike the original, this isn't as much of a musical and it has a wicked sense of humor. However, oddly, while being very dark, unlike WILLY WONKA, the film showed that the bad children were alright by the end of the film. If you never read the books, when you watch the original movie you might just think the brats died! Most of the reason the film is better is the clever script, though it didn't hurt that they were able to use modern special effects that were light-years ahead of the 1971 film. Additionally, while I liked Gene Wilder as Willy, the dark and twisted and possibly crazy Willy played by Johnny Depp was a hoot to watch. I also loved the new version of Oompa-loompas--so creepy and cool compared to the annoying orange freaks from the older film.

I liked just about everything about the new film. The only part I wasn't thrilled with was the tacked on epilogue which starred Christopher Lee. While I love seeing Lee in films (except when he was in the Star Wars movies--this is best forgotten), none of this was in the book and just seemed out of place--though also a bit fun. Purists (like myself) may not like this, but most out there probably won't mind at all with this addition.

Finally, I should point out that this is definitely a more adult version of the story. Young children probably should NOT watch the film--especially if they are impressionable of really, really young. However, for older kids, teen and adults, this remake is the better bet because it's funnier and quite clever and NEVER cloying or schmaltzy."
9,"I just saw this film in theaters and it was a LOT better than I thought it would be.When I first saw the teaser trailer for this I thought it would be terrible.Depp looked as though he imitated a version of Michale Jackson and the acting and directing looked pointless.Apparently I was wrong.Why the original movie probably was so popular was because Gene Wilder did a superb job as Willie Wonka{mind you I didn't like the it that much}.But you can definitely tell that this movie was done by Tim Burton.It was sort of different-strange but at the same time it was enjoyable and funny.The oommpa loompa's{or however you spell it} were however a bit too over the the top, and Willie Wonka's character didn't really suit the movie too much.But aside from that.It was smartly done"
9,"I'm a fan of Tim Burton, a fan of Johnny Depp and a fan of Tim Burton and Johnny Depp together. I'm also a since-I-was-six fan of the classic Willy Wonka movie starring Gene Wilder. I was concerned that, despite the great experiences served up by Burton/Depp collaborations in the past, this one might fall short on sentiment and long on sarcasm growing from twisted trees. I shouldn't have worried.

This film is, as every Tim Burton film is, a visual feast that draws you into a world that seems a combination of the real and unreal. This is a far less sweetly musical telling of the story, but Danny Elfman's music is a perfect fit for Burton's quizzically malevolent vision. Johnny Depp delivers a performance that can only be described as subtle slapstick. His Willy Wonka is equally an eccentric genius and nervous innocent. Burton's direction removes a lot of doubt about Wonka's motivations, and makes it OK for us to love Charlie, both pity and admire Willy, and laugh guiltily at the four despicable brats who get what they richly deserve.

The Oompa-Loompas are not orange, a little wackier, and don't have scary theme music. The interior of the chocolate factory is less fun house and more never-ending stainless fortress. Charlie's family is featured more, and you find yourself wishing you could crowd around that big bed with them. Smaller children (under 7 years old) may be frightened by the puppet show, the boat ride or Veruca's squirrel scene, and unimpressed by some of the more nuanced humor.

The classic is more ""pure imagination,"" this one is more flaming puppets. The classic shows Willie Wonka working in his office, this one shows Willie Wonka discovering the Oompa-Loompas. It's quite unlike the prior film in it's look, tenor and musical treatment, but the overall theme of the good at heart winning out over the good for nothing is the same. It's wonderfully delicious.

>> SPOILER ALERT <<

There's no last temptation of Charlie in this film (he doesn't enter any forbidden rooms), so that means no last minute tongue-lashing from Willie Wonka at the end. Instead, we're taken along on an examination of Willy Wonka's life, and wonder if he will truly shun all notions of family and the outside world forever. This part is all Burton, not Roald Dahl, but is an interesting insight into what might have made Willie Wonka the way he was, and whether the one principal he rejected in order to create his perfect world must be ultimately embraced in order to enlarge it and make it better."
9,"Reading through some other reviews here I felt a dire need to write one of my own.

I went into an afternoon showing of this film with a group of friends whose ages ranged from 16 to 10, we were in a cinema packed to bursting with small children (think 5 or 6 years old) who had dragged along their parents. And the whole way through we were all laughing.

This wasn't a children's film that the parents had to suffer through, and it wasn't so childish that teenagers wanted to vomit. It was the classic tale we all know and love, only slightly modernised to reflect todays children.

I'll tackle the children first, while some remained completely faithful to their book roots (August Gloop, particularly) it was good to see that some had changed slightly to reflect how children are today (such as Mike Teevee who is obsessed with TV and violence, and Violet whose mother is constantly encouraging her to be competitive and a 'winner') These kinds of children are commonplace these days, we've all met at least one, and it helps the viewer to slide into the film with ease.

Johnny Depps' acting was inspired. It angers me to see so many people instantly seeing his performance as based on Michael Jackson when it quite plainly isn't. Perhaps the American medias obsession with Jackson in recent months is to blame for this. But what I saw when i first saw Depps' Wonka was a recluse, scared and uncertain of how to be around people. He needs prompt cards to introduce himself.

His detachment from the world makes him seem weird, quirky even, but it's good because the space he keeps between himself and others is the exact opposite of what Charlie teaches us, that we need our families, we need others in our lives, which is an important lesson for todays children who have become increasingly 'memememe'.

Burton has done another stunning job, visually. The colours of the chocolate factory are stunning, and you can feel that you've entered a world of imagination and left the, literally, grey outside world far behind.

As always Elfmans music is a joy, and reflects the quirkiness of Burtons' vision. The 'Welcome' song is hysterical and instantly you find that while you may know the story, you have no idea as to what's about to hit you. The Oompa-Loompas songs are, unfortunately, very hard to hear over the roar of the music which is a damn shame, but the dance moves alone will have you in hysterics.

It was refreshing to find things added into this film that we didn't see in Wilders' version or in the book. I particularly loved seeing how Wonka found the Oompa-Loompas.

While i was a little surprised to be shown flashbacks of Wonkas childhood throughout, i quickly accepted it, and found it interesting as it lead to another important message that todays' children should always remember, that sometimes parents stop you from doing things because they actually love you, not because they hate you, and that they just want what's best for you.

This film was a joy to sit through, i hung on every word, silently urging the characters on so i could see what was going to happen next, hear what was going to be said. I had to know, even though i already knew the ending.

This is the kind of film children should be watching today. This is what a summer movie should be. This is what happens when Burton/Depp/Elfman deliver."
9,"I saw this at a free screening, and first of all, before I talk about the movie itself, I'm going to yell at everyone who is trying to compare ""Charlie"" to ""Wonka."" It's ridiculous. Depp and Burton have stated, numerous times, that they are not ""remaking"" the first movie. They are making a new movie, based on the book. Depp has never even seen the old movie before, on purpose. Also, looking at the other side of things, they are NOT trying to purposefully be unlike the old movie either! If anyone thinks Tim Burton would be that petty, they don't know Tim Burton's attitude towards film making. Okay, now that that's off my shoulders. The movie was excellent. I went in not knowing what to expect and came out with a grin that wouldn't go away. The effects were great, the acting was magnificent throughout, and thank god they cast Depp instead of some of the other strange considerations they were thinking of. To some who say Jim Carey should have played the role, I say...dead wrong you are. Jim Carey has made one good movie, and that was eternal sunshine. He's not a good comedian and I hope he realizes that soon. Anyway, I digress. The movie was excellent, that's all there was to it, and I bet if the first one had never been made, more of you haters would think the same thing."
