source,target,weight
music,bad,5
film,first,4
sad,film,4
date,bad,3
biggest,problem,3
third,time,3
second,time,3
old,movies,3
ok,bad,3
flat,score,3
songs,bad,3
wonka,suicide,3
much,stuff,3
weird,wonka,3
man,wonderful,3
man,fearful,3
sense,musical,3
least,scene,2
wonka,children,2
word,original,2
resilient,wonka,2
film,complete,2
scene,identical,2
true,world,2
years,weathered,2
years,excitable/sedated,2
years,puppy,2
original,doopeety,2
shud,..,2
original,loompa,2
charlie,genuine,2
original,oompa,2
years,worst,2
vicious-faced,wonka,2
movie,poor,2
dimensional,charlie,2
original,twist,2
original,crap,2
right,time,2
guy,right,2
least,films,2
dentist,worst,2
much,word,2
much,scene,2
typical,director,2
least,word,2
chocolate,classic,2
musical,oompas,2
dentist,poisoned,2
good,movie,2
word,identical,2
dim,film,2
version,original,2
original,annoyance,2
life,right,2
short,movie,2
classic,movie,2
wonka,poisoned,2
wonka,worst,2
wonka,re-unite,2
movie,third,2
mental,health,2
vicious-faced,salt,2
story,original,2
stupid,poor,2
older,version,2
drag,dull,2
cant,movies,2
horrendous,tunes,2
movie,great,2
types,different,2
human,version,2
wrong,wonka,2
bit,old,2
original,movie,2
girlie,dull,2
something,original,2
first,movie,2
good,movie,2
movie,johnny,2
queen,dull,2
sad,book,2
sad,miniature,2
sad,cavemen,2
sad,dwarfs,2
sad,man,2
lyrics,loud,2
old,movies,2
dull,characters,2
willy,dull,2
original,charlie,2
sure,lyrics,2
glaring,tunes,2
upbeat,wonka,2
first,dentist,2
characters,eccentric,2
health,good,2
first,wonka,2
movie,strong,2
movie,skilled,2
movie,positive,2
small,children,2
movie,uplifting,2
honest,book,2
movie,coldest,2
wonka,dull,2
warmth,genuine,2
warmth,original,2
group,long,2
actors,long,2
long,time,2
classical,movies,2
scene,original,2
original,movie,2
reader,original,2
original,movie,2
original,little,2
funny,references,2
tim,movie,2
original,episode,2
timeless,story,2
inside,references,2
obvious,movie,2
original,version,2
happy-go-lucky,movie,2
original,burton,2
original,darker,2
depp,good,2
story,special,2
nice,movie,2
movie,old,2
movie,original,2
story,great,2
burton,swank,2
darker,original,2
songs,worst,2
songs,entertaining,2
songs,rubbish,2
songs,poor,2
story,original,2
oompa,....,2
movie,second,2
original,pony,2
whole,kids,2
communistic,poor,2
white,acting,2
white,teeth,2
ideas,poor,2
sheet,white,2
poor,kind,2
poor,man,2
poor,enterprise,2
poor,way,2
poor,world,2
rich,kids,2
actors,duplicated,2
depp,white,2
johnny,white,2
wonka,classic,2
excellent,actors,2
....,exact,2
kids,perfect,2
performances,uniformly,2
none,original,2
performances,original,2
huge,movie,2
songs,incompetent,2
songs,2005-update,2
movie,original,2
original,movie,2
depp,dull,2
pattern,bad,2
sarcastic,wonka,2
many,film,2
biggest,weirdness,2
biggest,brand,2
family,humorous,2
family,intimate,2
famous,film,2
biggest,burton,2
wonka,abusive,2
biggest,tim,2
true,details,2
oompa,lumpas,2
many,oompas,2
imposing,poor,2
clarence,right,2
identical,oompas,2
....,next,2
